Nombre,Direccion,Tipo,Tel,Fax
Centro M. Escaño,Dr. Delgado No.2,CLINICA,809-687-2090,809-689-0148
Clinica Reno,Santo Tomás De Aquino,CLINICA,809-686-7777,809-686-8231
Centro M. Avanzada De Herrera,Ant. Carretera Duarte,CLINICA,809-561-8005,809-564-0534
Centro Médico Haina,"C/ Sánchez No. 49, Haina",CLINICA,809-237-3000,809-237-1996
Centro Policlinico Nacional,Guayubín Olivo No. 1,CLINICA,809-788-2323,809-596-9286
Centro Médico Moderno,Charles Summer Esq. J. López,CLINICA,809-548-3131,809-567-2129
Centro M. Vista del Jardin,C/ Rep. de Colombia/ Los Rios,CLINICA,809-563-9923 ,809-620-3415
Centro Quirurgíco Esculapio,C/ Mnl. Castillo No. 20 / Ga.,CLINICA,809-686-7290,809-682-9428
Clinica Independencia,Av Independencia No. 301,CLINICA,809-533-2775 ,809-534-7340
Clinica Dra. Evangelina Rodguez (Pro-Familía),Av. Nicolás de Ovando No. 16,CLINICA,809-684-3389,809-684-3856
C. M. Integral Santana Guzmán,"Av. Sabana Larga No. 30, ",CLINICA,809-788-1003,809-598-2111
Und. Rehabilitación Funcional,C/ Núñez Doguez No. 2 La Julia,CLINICA,809-535-2744,809-472-0999
clinica Abreu,Av Independencia No. 301,CLINICA,809-688-4411,809-688-8359*809-6874922
clinica integral 2,Carretera Mella ,CLINICA,809-788-6336,809-695-2688
Centro Medico Maria Dolores,AV sabana Larga,CLINICA,809-547-8601,809-728-3096
Centro Medco Universal,Club rotarios no. 58 Ensanche Ozama,CLINICA,809-594-6161,809-598-2223
Centro Medico Juan Carlos,Av. 25 de febrero no.144 las Americas,CLINICA,809-699-1111,809-699-0252
Clinica Pappy Fernnadez,AV.Pdrelivio Cedeño no.39 casi esq. Duarte,CLINICA,809-681-4877,
